Number of Monte Carlo Cycles: 	10000
Number of MC cycles skipped before measurements: 	5000
Lattice size, L = 	8
Number of different Temperature Measurements: 	28
The measurement took  in seconds:	3.2661046981811523
Temperature 	 EnergyPerParticle 	 Heat Capacity Per Part 	 Absolute Mean Magnetization 	 Susceptibility 	 No of accepted steps 
0.2	-2.0	0.0	1.0	0.0	66.0
0.55	-2.0	0.0	1.0	0.0	82.0
0.9000000000000001	-1.99880625	0.013174441358073012	0.99968125	0.0009788861111164552	228.0
1.25	-1.98395625	0.08877681759999177	0.9958875	0.007614071999995531	2769.0
1.6	-1.930475	0.2649478749999989	0.98025	0.04222562500000748	12810.0
1.9500000000000002	-1.78324375	0.60538017028271	0.92916875	0.22160014230769465	43677.0
2.0	-1.74925	0.6799285000000026	0.91395	0.3106777199999975	49678.0
2.025	-1.73335	0.7758409413199224	0.90463125	0.4506517518518509	55555.0
2.05	-1.6971	0.8855923283759605	0.888625	0.5208751219512192	62317.0
2.0749999999999997	-1.6875375	0.9250108660182957	0.88245625	0.622062350602407	63753.0
2.0999999999999996	-1.6725375	0.8290355804988699	0.88089375	0.4501377988095222	66500.0
2.1249999999999996	-1.65073125	0.9305994801384058	0.86924375	0.5713255988235314	73839.0
2.1499999999999995	-1.59951875	1.091499767982687	0.8311625	1.0460509348837215	78957.0
2.1749999999999994	-1.59183125	1.0851635624256804	0.8319625	0.9433023034482757	86586.0
2.1999999999999993	-1.54661875	1.1239299168388446	0.80761875	1.118857998863635	92170.0
2.224999999999999	-1.53081875	1.1404823830324482	0.80558125	0.9450107314606722	98705.0
2.249999999999999	-1.5146625	1.0723339674074106	0.795675	1.0384479288888875	103130.0
2.274999999999999	-1.483275	1.172804745320618	0.77615	1.1867408175824157	110927.0
2.299999999999999	-1.4773375	1.1407382438563312	0.774375	1.1594891304347814	117959.0
2.324999999999999	-1.44395	1.2129980233553013	0.75345625	1.2886765494623642	123359.0
2.3499999999999988	-1.41533125	1.137806152557722	0.7409	1.255563897872341	131640.0
2.35	-1.38575625	1.23939482073336	0.7159	1.4374490042553225	134104.0
2.7	-1.05730625	0.9055365017146799	0.49583125	1.6186945472222223	227249.0
3.0500000000000003	-0.8120875	0.45936459123891477	0.3244375	1.018690081967213	296865.0
3.4000000000000004	-0.685525	0.2964446678200686	0.26653125	0.6566463051470587	339483.0
3.7500000000000004	-0.60375	0.21776711111111097	0.2335375	0.4779946959999999	369625.0
4.1000000000000005	-0.53125625	0.17604625208209404	0.20601875	0.3476741652439024	396160.0
4.450000000000001	-0.4865125	0.14881240196944825	0.18750625	0.2825308983146066	416923.0

 
All measurments: 
Temperature: 	0.2
