Number of Monte Carlo Cycles: 	100000
Number of MC cycles skipped before measurements: 	50000
Lattice size, L = 	20
Number of different Temperature Measurements: 	25
Temperature 	 EnergyPerParticle 	 Heat Capacity Per Part 	 Absolute Mean Magnetization 	 Susceptibility 	 No of accepted steps 
0.1	-1.8	0.0	0.0	0.0	1706.0
0.35	-2.0	0.0	1.0	0.0	2058.0
0.6	-1.9999873	0.0002825985672340418	0.9999968	1.0659839972504415e-05	20360.0
0.8499999999999999	-1.9993585999999999	0.007275076008604835	0.9998394999999999	0.00038528929418295304	7782.0
1.0999999999999999	-1.9939565	0.04218135793401845	0.998446	0.0031800305454949425	74456.0
1.3499999999999999	-1.9748777999999998	0.11967628360173409	0.9932989000000001	0.012768817419257379	275911.0
1.5999999999999999	-1.9282827	0.2671045907359258	0.9796134999999999	0.04405427943752329	806260.0
1.8499999999999999	-1.8372948	0.48568670772365724	0.9491727	0.1360214215589253	1949308.0
2.0	-1.745208	0.7269966735999697	0.9116151000000001	0.36849739039796986	3161143.0
2.05	-1.7060515	0.8461819248304302	0.8927862000000001	0.5580396272312168	3712439.0
2.0999999999999996	-1.6566918000000002	1.0382817063727507	0.8614121	1.6580132330647586	4364062.0
2.1499999999999995	-1.6086169000000001	1.1871114361830002	0.8344763000000001	1.7840789280576652	5100873.0
2.1999999999999993	-1.5545001999999999	1.2950881156991754	0.7974068	2.7264387843200075	5911440.0
2.249999999999999	-1.4819198	1.5185134908017701	0.7369536	4.503473146140461	6974855.0
2.3	-1.4057235	1.6117106274291122	0.6652771	6.235228472276519	8162700.0
2.55	-1.0725552	0.8886594972985665	0.2836839	5.488346883261174	13520413.0
2.8	-0.9059713	0.5435971977709156	0.1708925	2.2762287062499995	16578659.0
3.05	-0.7950109000000001	0.39217377613286775	0.1298851	1.236517416129836	18852582.0
3.3	-0.7100893	0.3012665023144152	0.1096782	0.813352659970909	20692595.0
3.55	-0.6451336000000001	0.2459683126693872	0.09635389999999999	0.5904186427932399	22198440.0
3.8	-0.5909931	0.2029009211188367	0.0875974	0.45780279086736825	23468962.0
4.05	-0.5463425000000001	0.1738131185794847	0.0819163	0.3771547944997531	24582369.0
4.3	-0.507103	0.14580171749053525	0.0769803	0.30951599180558137	25540225.0
4.55	-0.47413400000000006	0.12615222401159235	0.0722315	0.259940827054945	26388672.0
4.8	-0.44586210000000004	0.10944625492343718	0.0694171	0.22753322729916672	27134609.0
