Number of Monte Carlo Cycles: 	100000
Number of MC cycles skipped before measurements: 	50000
Lattice size, L = 	10
Number of different Temperature Measurements: 	25
Temperature 	 EnergyPerParticle 	 Heat Capacity Per Part 	 Absolute Mean Magnetization 	 Susceptibility 	 No of accepted steps 
0.1	-2.0	0.0	1.0	0.0	218.0
0.35	-2.0	0.0	1.0	0.0	174.0
0.6	-1.9999888000000001	0.0002488540443058203	0.9999971999999999	9.332026669047385e-06	156.0
0.8499999999999999	-1.9993584000000002	0.00725984075285936	0.9998344	0.00041465607528687765	2226.0
1.0999999999999999	-1.9938488	0.042737416409940776	0.9983996	0.00327770180362925	16014.0
1.3499999999999999	-1.9744544	0.12541093666063988	0.9931712	0.01335522152295636	67786.0
1.5999999999999999	-1.9281304	0.27006346077499194	0.9795900000000001	0.04533099374998528	201698.0
1.8499999999999999	-1.8382779999999999	0.5022130815485615	0.9493488000000001	0.14387156424648287	485796.0
2.0	-1.7470816	0.7383754735360071	0.9122608	0.3659588391680063	785488.0
2.05	-1.7108928	0.8090914195873827	0.8962832000000001	0.4606638730614622	918595.0
2.0999999999999996	-1.6596832000000001	0.9638308307882066	0.8701084	0.7203293452114288	1078703.0
2.1499999999999995	-1.6147471999999998	1.04249164071737	0.8463259999999999	0.9155277080930277	1260979.0
2.1999999999999993	-1.5534999999999999	1.1990318595041376	0.80805	1.3386060681818108	1469404.0
2.249999999999999	-1.5000252	1.2458674442461186	0.7759084	1.5689423470862238	1685081.0
2.3	-1.4353399999999998	1.3216087032136157	0.7301128	1.9848098815721762	1920005.0
2.55	-1.1234712	1.061443548951327	0.49299160000000003	2.5619787580172546	3180462.0
2.8	-0.9242467999999999	0.6256227128795924	0.3449644	1.7091200975942855	4064029.0
3.05	-0.7993908000000001	0.4292195525435085	0.26800599999999997	1.1370646545573777	4682722.0
3.3	-0.7096396	0.31436589634380124	0.221342	0.7662230010909091	5166800.0
3.55	-0.6439716	0.25392696999357284	0.196844	0.5799177370140847	5541440.0
3.8	-0.5889084	0.20470100006537406	0.178214	0.4497966895789472	5865820.0
4.05	-0.5411572	0.17540036511604917	0.1628992	0.36313942319407416	6143952.0
4.3	-0.5058692	0.14851491882833953	0.1539508	0.305702864636279	6385414.0
4.55	-0.472984	0.13000342830092995	0.1456016	0.261366111592088	6599134.0
4.8	-0.4443196	0.11333446638819458	0.14029239999999998	0.22707471879666677	6787107.0
